date,1. open,2. high,3. low,4. close,5. volume
2021-01-29,13.75,14.5,13.11,13.28,5020221.0
2021-01-28,14.99,16.0799,12.82,13.65,13288423.0
2021-01-27,14.11,15.86,14.0,14.99,15404456.0
2021-01-26,13.43,14.85,12.6,14.56,17672805.0
2021-01-25,11.24,13.9,11.16,13.36,23714200.0
2021-01-22,10.76,11.085,10.43,11.06,4410515.0
2021-01-21,10.95,11.17,10.7,10.805,5574855.0
2021-01-20,11.43,11.6,10.765,11.02,7526584.0
2021-01-19,11.55,11.69,11.32,11.48,3560560.0
2021-01-15,11.8978,12.02,11.3914,11.42,4339111.0
2021-01-14,12.12,12.13,11.7,11.99,4886137.0
2021-01-13,12.86,12.97,11.98,11.99,5807446.0
2021-01-12,12.13,12.68,12.13,12.61,3470843.0
2021-01-11,11.99,12.34,11.86,12.15,3613813.0
2021-01-08,11.79,12.53,11.72,12.35,6247038.0
2021-01-07,11.23,11.7,11.21,11.63,3893563.0
2021-01-06,11.5,11.59,11.1,11.16,6784406.0
2021-01-05,11.64,11.99,11.49,11.58,3882591.0
2021-01-04,12.02,12.55,11.44,11.68,5447280.0
2020-12-31,12.14,12.16,11.52,11.94,6720967.0
2020-12-30,12.11,12.54,12.09,12.21,2808159.0
2020-12-29,12.32,12.59,11.88,12.12,3783466.0
2020-12-28,13.58,13.6,12.12,12.37,7585488.0
2020-12-24,13.73,13.73,13.105,13.43,2116261.0
2020-12-23,13.52,13.92,13.33,13.58,3281758.0
2020-12-22,13.58,14.14,13.26,13.43,6277555.0
2020-12-21,11.91,13.88,11.88,13.83,14824905.0
2020-12-18,11.725,12.26,11.58,12.1,5246150.0
2020-12-17,11.47,11.79,11.4123,11.74,2613376.0
2020-12-16,11.55,11.58,11.2,11.5,2466063.0
2020-12-15,11.3,11.68,11.13,11.56,2486485.0
2020-12-14,11.8423,11.85,11.21,11.26,3425492.0
2020-12-11,11.88,12.1,11.42,11.51,3418177.0
2020-12-10,11.32,12.11,11.12,11.98,5334411.0
2020-12-09,11.36,11.76,11.21,11.45,4537346.0
2020-12-08,11.33,11.81,11.12,11.22,5536546.0
2020-12-07,11.16,11.36,10.7525,10.87,4669096.0
2020-12-04,11.52,11.5901,11.1,11.17,3684094.0
2020-12-03,11.96,12.22,11.425,11.48,4579127.0
2020-12-02,11.85,12.07,11.41,11.94,3676042.0
2020-12-01,12.58,12.59,11.78,11.82,5054286.0
2020-11-30,12.2,12.81,11.92,12.3,8865906.0
2020-11-27,12.09,12.27,11.87,12.18,2098894.0
2020-11-25,11.96,12.49,11.63,12.1,4878887.0
2020-11-24,11.73,12.19,11.33,12.03,12201149.0
2020-11-23,11.225,12.5975,11.21,12.48,10614620.0
2020-11-20,11.13,11.2699,10.58,10.91,5588161.0
2020-11-19,11.25,11.5968,10.85,11.07,8007409.0
2020-11-18,10.31,11.75,10.04,11.28,15000971.0
2020-11-17,9.65,10.44,9.05,10.25,18233338.0
2020-11-16,9.67,10.03,9.39,9.96,14888638.0
2020-11-13,9.69,9.96,9.345,9.41,7367839.0
2020-11-12,9.79,9.84,9.36,9.49,4553343.0
2020-11-11,9.97,10.0593,9.52,9.8,4777868.0
2020-11-10,10.12,10.4,9.82,9.92,4741973.0
2020-11-09,10.7,11.23,9.97,9.99,6466268.0
2020-11-06,10.05,10.545,9.881,10.1,3645611.0
2020-11-05,9.85,10.33,9.77,10.15,4493756.0
2020-11-04,9.5425,9.89,9.44,9.59,4191412.0
2020-11-03,9.07,9.64,9.0386,9.39,6130712.0
2020-11-02,9.11,9.37,8.86,8.94,5879739.0
2020-10-30,9.22,9.31,8.6335,8.9,7942369.0
2020-10-29,9.45,9.7,9.16,9.29,4121699.0
2020-10-28,9.46,9.71,9.21,9.42,5178441.0
2020-10-27,10.25,10.4148,9.67,9.88,6120862.0
2020-10-26,11.15,11.19,10.1,10.19,8896604.0
2020-10-23,12.2,12.2814,11.3,11.36,7118074.0
2020-10-22,12.57,13.36,11.54,12.115,17991494.0
2020-10-21,11.32,11.4599,10.87,11.23,3792006.0
2020-10-20,11.19,11.5,10.95,11.375,3460048.0
2020-10-19,11.96,12.18,11.02,11.07,5669198.0
2020-10-16,12.2,12.34,11.85,11.92,3456064.0
2020-10-15,11.72,12.69,11.55,12.13,5481345.0
2020-10-14,12.3,12.37,11.85,11.86,3029392.0
2020-10-13,12.5,12.53,11.93,12.28,3625226.0
2020-10-12,12.52,12.82,12.38,12.51,2958558.0
2020-10-09,12.76,12.84,12.36,12.37,2618640.0
2020-10-08,12.85,12.94,12.33,12.7,4631500.0
2020-10-07,12.02,13.4199,12.02,12.53,9693038.0
2020-10-06,11.63,12.15,11.36,11.68,6205662.0
2020-10-05,11.32,11.67,11.24,11.48,3667533.0
2020-10-02,11.22,11.47,10.84,11.2,5956344.0
2020-10-01,11.76,12.02,11.38,11.585,3562144.0
2020-09-30,11.59,12.01,11.28,11.68,5380825.0
2020-09-29,11.51,12.03,11.49,11.61,4271541.0
2020-09-28,11.44,11.83,11.35,11.53,3353296.0
2020-09-25,10.66,11.3199,10.61,11.26,3509002.0
2020-09-24,10.15,10.88,9.87,10.67,4442054.0
2020-09-23,11.04,11.08,10.28,10.36,3846554.0
2020-09-22,10.7,11.31,10.55,11.19,4568261.0
2020-09-21,11.31,11.37,10.2,10.59,6617773.0
2020-09-18,11.72,12.03,11.57,11.83,5409119.0
2020-09-17,11.66,12.2,11.42,11.64,5001601.0
2020-09-16,11.94,12.33,11.58,11.75,4422647.0
2020-09-15,11.72,12.33,11.63,11.93,5326475.0
2020-09-14,10.7,11.83,10.6983,11.56,5113222.0
2020-09-11,11.43,11.615,10.48,10.72,7045131.0
2020-09-10,11.145,11.915,11.14,11.37,8964054.0
2020-09-09,11.01,11.44,10.56,11.27,11811546.0
2020-09-08,9.3876,10.81,9.312,10.57,11480486.0
