date,1. open,2. high,3. low,4. close,5. volume
2020-04-20,158.62,160.22,158.46,159.7,10680239.0
2020-04-17,159.72,160.07,158.12,158.57,14646944.0
2020-04-16,161.88,163.15,160.65,161.71,9164551.0
2020-04-15,161.8,162.54,160.8061,161.85,12112985.0
2020-04-14,162.6701,164.42,161.78,162.68,17085552.0
2020-04-13,159.17,162.38,158.625,161.41,20520700.0
2020-04-09,158.08,159.08,157.21,158.69,18039666.0
2020-04-08,155.91,155.94,154.59,154.65,7589797.0
2020-04-07,155.33,156.14,154.38,156.04,9167837.0
2020-04-06,154.1699,157.22,153.96,156.88,14636349.0
2020-04-03,152.4097,153.09,151.66,152.65,8466802.0
2020-04-02,151.2,152.5,150.7,151.9,9171702.0
2020-04-01,148.2,150.08,147.85,149.45,11789096.0
2020-03-31,151.36,151.8,147.97,148.05,13282011.0
2020-03-30,152.41,153.08,151.57,152.92,12064244.0
2020-03-27,153.0,153.55,152.0,152.25,9818063.0
2020-03-26,153.3,154.81,152.08,153.24,12744195.0
2020-03-25,152.58,152.878,151.01,151.3,16408181.0
2020-03-24,153.5,155.66,152.05,153.4,20601136.0
2020-03-23,142.675,146.93,142.28,146.3,28205580.0
2020-03-20,140.7399,141.17,139.14,140.11,19896161.0
2020-03-19,139.0781,140.5,137.8503,138.04,20771230.0
2020-03-18,141.75,142.88,138.5,140.7,21891367.0
2020-03-17,140.18,146.2,139.93,143.56,24390448.0
2020-03-16,137.56,142.96,136.12,141.64,24368528.0
2020-03-13,149.42,149.6,141.58,143.28,35132872.0
2020-03-12,151.53,151.55,146.85,147.79,32836122.0
2020-03-11,156.26,156.5,153.61,153.93,17763825.0
2020-03-10,156.2303,156.41,154.39,154.48,18687110.0
2020-03-09,158.5,159.37,156.33,157.81,24773134.0
2020-03-06,158.32,159.25,154.54,157.55,26934835.0
2020-03-05,156.06,157.62,155.72,157.49,17937637.0
2020-03-04,154.4,154.96,153.7,154.16,12271488.0
2020-03-03,150.84,155.24,150.735,153.89,28473121.0
2020-03-02,149.97,150.73,149.04,149.2,16264343.0
2020-02-28,152.71,152.77,147.05,148.38,42698920.0
2020-02-27,155.58,156.27,153.9,154.0,27842425.0
2020-02-26,153.84,155.28,152.9,153.97,17902830.0
2020-02-25,155.12,156.08,152.91,153.3,28034251.0
2020-02-24,158.36,158.53,155.36,156.09,27077119.0
2020-02-21,154.4057,155.2219,154.18,154.7,16344191.0
2020-02-20,152.0,152.83,151.95,152.41,8427774.0
2020-02-19,150.9884,151.82,150.815,151.79,9240505.0
2020-02-18,149.88,151.09,149.47,150.91,11523582.0
2020-02-14,148.74,149.13,148.63,149.0,5344151.0
2020-02-13,148.24,148.58,147.9501,148.38,7080088.0
2020-02-12,147.42,147.81,147.1567,147.54,5008759.0
2020-02-11,148.03,148.16,147.01,147.66,5173393.0
2020-02-10,148.21,148.4464,147.91,148.17,5788476.0
2020-02-07,147.83,148.18,147.335,147.79,6367355.0
2020-02-06,147.28,147.63,147.0,147.4,4807047.0
2020-02-05,146.38,146.81,146.16,146.61,6156860.0
2020-02-04,146.96,147.03,145.8,146.43,10501897.0
2020-02-03,148.66,148.78,147.6802,148.36,9103481.0
2020-01-31,148.88,149.68,148.81,149.33,14781354.0
2020-01-30,148.69,149.31,148.01,148.47,9117215.0
2020-01-29,147.7,148.56,147.61,148.46,5004617.0
2020-01-28,148.36,148.56,147.53,147.66,7507154.0
2020-01-27,149.21,149.32,148.4575,148.99,9963178.0
2020-01-24,146.9221,148.38,146.89,147.98,9913786.0
2020-01-23,147.0,147.62,146.62,147.12,8411937.0
2020-01-22,146.68,146.81,146.38,146.79,4772215.0
2020-01-21,145.77,146.86,145.551,146.74,6076269.0
2020-01-17,146.51,146.99,146.31,146.58,11119151.0
2020-01-16,146.2313,146.4658,145.755,146.31,6051756.0
2020-01-15,146.21,146.73,145.82,146.54,6498475.0
2020-01-14,145.4005,145.81,145.082,145.69,6589676.0
2020-01-13,146.35,146.38,145.78,145.82,7593771.0
2020-01-10,146.22,146.99,146.17,146.91,6183208.0
2020-01-09,146.07,146.41,145.44,146.03,10292147.0
2020-01-08,148.49,148.61,146.14,146.86,22247107.0
2020-01-07,147.57,148.14,147.43,147.97,7996704.0
2020-01-06,148.42,148.48,146.95,147.39,14397138.0
2020-01-03,145.7713,146.32,145.4,145.86,12272707.0
2020-01-02,143.86,144.21,143.4,143.95,7732710.0
2019-12-31,143.31,143.605,142.8,142.9,5312671.0
2019-12-30,142.57,142.8,142.46,142.63,4810215.0
2019-12-27,142.26,142.73,142.17,142.33,5119883.0
2019-12-26,142.06,142.47,141.9062,142.38,8338329.0
2019-12-24,140.4401,141.33,140.43,141.27,5303698.0
2019-12-23,139.53,139.96,139.53,139.95,5180814.0
2019-12-20,139.3705,139.52,138.98,139.52,4446611.0
2019-12-19,139.0421,139.55,138.87,139.38,4974681.0
2019-12-18,138.86,139.25,138.81,139.02,3607526.0
2019-12-17,139.04,139.3,138.851,139.01,4287398.0
2019-12-16,139.2,139.39,138.8,139.04,4645603.0
2019-12-13,138.52,139.21,137.98,139.05,6964255.0
2019-12-12,139.78,139.85,137.88,138.43,8809561.0
2019-12-11,138.2,139.3,138.1201,138.92,6051297.0
2019-12-10,138.25,138.33,137.74,137.97,3240667.0
2019-12-09,137.81,137.81,137.45,137.58,2711506.0
2019-12-06,137.76,137.8262,137.4,137.62,8714531.0
2019-12-05,138.8,139.45,138.79,139.0,5661533.0
2019-12-04,139.16,139.165,138.59,138.92,6322253.0
2019-12-03,139.06,139.57,138.97,139.11,8500626.0
