date,1. open,2. high,3. low,4. close,5. volume
2021-02-02,37.92,38.765,37.85,38.57,5171875.0
2021-02-01,36.85,37.23,35.79,36.99,5054560.0
2021-01-29,36.71,37.72,35.32,36.01,11338157.0
2021-01-28,37.57,38.0409,36.74,36.86,5123037.0
2021-01-27,39.98,39.99,36.41,36.5,9181717.0
2021-01-26,41.12,41.43,40.8,40.8,3169115.0
2021-01-25,41.35,41.5,39.81,40.72,5692715.0
2021-01-22,41.33,41.82,41.22,41.59,1985874.0
2021-01-21,41.68,41.88,41.345,41.83,2276904.0
2021-01-20,41.59,41.8,41.27,41.68,2280803.0
2021-01-19,41.32,41.41,40.94,41.22,2841647.0
2021-01-15,40.99,41.26,40.25,40.73,3038683.0
2021-01-14,41.69,41.95,41.16,41.33,1814408.0
2021-01-13,41.21,41.7,41.08,41.58,1868546.0
2021-01-12,40.98,41.275,40.39,41.23,2676216.0
2021-01-11,41.04,41.34,40.44,40.85,2962598.0
2021-01-08,41.72,41.92,41.05,41.82,2577360.0
2021-01-07,41.36,41.6,41.16,41.57,2642430.0
2021-01-06,40.47,41.5401,39.88,40.39,5692850.0
2021-01-05,39.16,40.4499,39.13,40.28,2622097.0
2021-01-04,41.45,41.4749,38.94,39.65,5357751.0
2020-12-31,41.45,41.84,41.1,41.44,1924563.0
2020-12-30,40.81,41.51,40.7,41.43,1975901.0
2020-12-29,41.75,41.77,40.29,40.68,2075221.0
2020-12-28,41.7,41.76,41.43,41.65,1992971.0
2020-12-24,41.1,41.5,41.07,41.5,901893.0
2020-12-23,40.4,41.135,40.35,40.86,2024002.0
2020-12-22,39.87,40.08,39.58,40.0,2333024.0
2020-12-21,39.31,40.07,38.38,39.59,5206768.0
2020-12-18,41.55,41.56,40.69,41.23,2696481.0
2020-12-17,41.36,41.86,41.27,41.71,2057959.0
2020-12-16,40.82,41.44,40.6,41.4,1725654.0
2020-12-15,40.27,40.78,40.05,40.65,2608042.0
2020-12-14,40.96,41.12,39.8,39.85,2296599.0
2020-12-11,40.57,40.86,39.7299,40.31,2806567.0
2020-12-10,41.09,41.6298,40.92,41.06,2427720.0
2020-12-09,42.3,42.43,41.06,41.24,3646133.0
2020-12-08,41.13,42.05,41.13,42.05,1492367.0
2020-12-07,41.18,41.41,41.08,41.35,1533446.0
2020-12-04,41.32,41.62,41.31,41.42,1862178.0
2020-12-03,41.49,41.55,40.91,41.09,2040069.0
2020-12-02,41.13,41.71,41.11,41.33,1966336.0
2020-12-01,41.54,41.705,41.08,41.16,2688506.0
2020-11-30,40.87,41.4,40.2,41.35,2169555.0
2020-11-27,41.32,41.47,40.84,40.99,890123.0
2020-11-25,40.37,41.19,40.11,41.15,1773861.0
2020-11-24,40.46,40.52,40.06,40.4,1875843.0
2020-11-23,40.05,40.38,39.68,40.04,2409215.0
2020-11-20,39.8,40.19,39.73,39.81,2250373.0
2020-11-19,39.61,40.09,39.32,39.78,2404691.0
2020-11-18,40.36,40.58,39.39,39.42,2714220.0
2020-11-17,39.44,40.195,39.31,40.18,2600992.0
2020-11-16,39.85,39.89,39.13,39.8,2762448.0
2020-11-13,38.81,39.6683,38.81,39.39,2913468.0
2020-11-12,39.27,39.5,37.73,38.15,5984566.0
2020-11-11,39.43,39.95,39.18,39.57,3082056.0
2020-11-10,39.03,39.16,38.31,39.13,4537148.0
2020-11-09,39.41,40.25,38.52,38.52,7220122.0
2020-11-06,37.09,38.13,37.02,38.13,3859868.0
2020-11-05,37.15,37.33,36.66,36.86,3213853.0
2020-11-04,35.77,36.69,35.73,36.54,5202373.0
2020-11-03,34.63,35.26,34.52,35.04,2532441.0
2020-11-02,34.5,34.55,33.88,34.13,3478416.0
2020-10-30,33.99,34.24,33.4,33.73,5256653.0
2020-10-29,33.41,34.76,33.1,34.33,4134769.0
2020-10-28,34.25,34.51,33.04,33.07,6275850.0
2020-10-27,35.7065,36.01,35.32,35.63,3386634.0
2020-10-26,36.91,37.12,35.37,35.48,4795846.0
2020-10-23,37.45,37.51,36.97,37.4,2487148.0
2020-10-22,36.99,37.57,36.84,37.42,3350177.0
2020-10-21,36.64,37.09,36.41,37.0,3590303.0
2020-10-20,36.67,36.82,36.44,36.54,3636221.0
2020-10-19,37.42,37.48,36.42,36.55,3092696.0
2020-10-16,37.54,37.795,37.37,37.38,2703969.0
2020-10-15,36.8,37.55,36.65,37.48,2968929.0
2020-10-14,37.64,37.96,37.37,37.64,3419324.0
2020-10-13,37.48,37.64,37.0977,37.52,2924840.0
2020-10-12,37.72,37.79,37.38,37.71,2050889.0
2020-10-09,37.0,37.39,36.96,37.38,2569980.0
2020-10-08,35.91,36.47,35.82,36.43,2725115.0
2020-10-07,35.51,35.84,35.41,35.72,1885050.0
2020-10-06,35.54,35.86,34.975,35.15,2940002.0
2020-10-05,34.98,35.52,34.83,35.38,2026217.0
2020-10-02,34.5,35.18,34.43,34.87,3577130.0
2020-10-01,35.67,35.67,35.12,35.36,2854418.0
2020-09-30,35.73,35.93,35.29,35.5,2485228.0
2020-09-29,35.09,35.73,35.09,35.5,2320302.0
2020-09-28,35.22,35.2438,34.98,35.12,2200751.0
2020-09-25,34.6,35.1501,34.485,35.06,2843235.0
2020-09-24,34.32,34.92,34.1,34.62,3345921.0
2020-09-23,35.31,35.36,34.27,34.29,3667019.0
2020-09-22,35.35,35.4,34.74,35.2,2739355.0
